country,category,n_weeks,total_spend,total_apr,avg_weekly_spend,overall_margin,pearson_r,best_week_spend,best_week_margin,max_spend,min_spend,max_margin,min_margin,missed_apr
Canada,Therapist,5,437,-20,87.4,-0.04576659038901602,-0.9576817409292405,178,-0.033707865168539325,202,6,1.3333333333333333,-0.31683168316831684,5.269662921348315
Canada,Fence & Gate Installation,6,4908,4251,818.0,0.8661369193154034,-0.9201131498041488,687,1.4643377001455604,1307,181,1.701657458563536,0.5723029839326702,2935.9694323144104
United States,Wedding Photography,12,30516,15400,2543.0,0.5046532966312754,-0.8995092541037424,1309,0.9373567608861727,4290,1305,0.9373567608861727,0.14219114219114218,13204.378915202447
Canada,House Cleaning,6,3922,5282,653.6666666666666,1.3467618561958186,-0.8620494385171891,524,2.017175572519084,1389,306,2.017175572519084,0.7796976241900648,2652.362595419848
United Kingdom,Bathroom Installation & Remodel,12,40190,17094,3349.1666666666665,0.42532968400099525,-0.8527533430576826,2326,0.9746345657781599,4379,2326,0.9746345657781599,0.18547706163805236,22076.563198624244
United Kingdom,Roof Cleaning,5,2753,-1018,550.6,-0.3697784235379586,-0.8478275365869457,373,0.08310991957104558,872,107,0.08310991957104558,-0.5900243309002433,1265.8016085790885
United Kingdom,Electric Charge Points Installation,12,10435,5773,869.5833333333334,0.5532343076185913,-0.8363370337199385,748,1.2954545454545454,1863,227,2.372750642673522,0.09554482018250134,7745.068181818182
United Kingdom,Driveway Installation,12,39239,5565,3269.9166666666665,0.14182318611585412,-0.8217971283770917,4500,0.0044444444444444444,9116,846,0.9712689545091779,-0.08033240997229917,-5390.604444444444
Canada,Tree Surgery & Removal,5,1804,398,360.8,0.22062084257206208,-0.7869326820328953,679,0.08541973490427099,699,101,1.900990099009901,-0.10586552217453506,-219.90279823269515
United Kingdom,Patio Services,12,24880,7155,2073.3333333333335,0.28758038585209006,-0.7761718422473388,1482,0.7489878542510121,3238,1482,0.7489878542510121,-0.08245830759728227,11479.817813765181
United Kingdom,Artificial Grass Installation,12,23547,4882,1962.25,0.20733002080944493,-0.7596775877192784,1649,0.5779260157671315,3588,626,0.8083067092651757,-0.02810424118548799,8726.423893268646
United Kingdom,Fence & Gate Installation,12,24517,4131,2043.0833333333333,0.16849532977117918,-0.7540509557235232,1133,0.732568402471315,3112,1133,0.732568402471315,-0.05517241379310345,13829.37952338923
United Kingdom,Marquee Hire,12,4447,495,370.5833333333333,0.11131099617719811,-0.7538510470497255,206,0.8349514563106796,568,115,0.8521739130434782,-0.2681704260651629,3218.029126213592
United Kingdom,Tree Surgery & Removal,12,29309,8905,2442.4166666666665,0.30383158756695894,-0.7527403324878869,1598,0.7834793491864831,3230,1422,0.7834793491864831,0.04346466541588493,14057.996245306633
United Kingdom,Man & Van Services,12,5185,175,432.0833333333333,0.033751205400192864,-0.7486812497962135,358,0.6508379888268156,700,53,0.9056603773584906,-0.22972972972972974,3199.594972067039
Canada,Bookkeeping Services,5,782,147,156.4,0.18797953964194372,-0.7464639215569158,133,2.1353383458646618,215,21,2.1353383458646618,-0.6698564593301436,1522.8345864661655
United Kingdom,House Clearance,12,7327,1877,610.5833333333334,0.2561757881807015,-0.7346649076340429,274,1.167883211678832,1036,274,1.167883211678832,-0.17543859649122806,6680.080291970802
United Kingdom,Landscaping,12,62814,31363,5234.5,0.4992995192154615,-0.7326054403584763,4571,0.8805513016845329,7062,3901,0.8805513016845329,0.26514233797698367,23947.94946401225
Ireland,Roof Repair,8,1096,770,137.0,0.7025547445255474,-0.7214407007776849,121,1.462809917355372,241,1,48.0,0.12949640287769784,833.2396694214876
United Kingdom,Gardening,12,10614,3533,884.5,0.3328622573958922,-0.7180806957924747,400,1.1425,1449,381,1.1425,0.11091854419410745,8593.495
United Kingdom,Garage Door Installation,12,12530,2958,1044.1666666666667,0.23607342378292098,-0.7063984393793188,574,1.0069686411149825,1882,535,1.0069686411149825,-0.13177470775770456,9659.31707317073
